"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:0Hz3Bf0SjlKlqYvIwH9a70","Holiday House","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","spotify:album:6nx7O0T24xjbCpiATB4Rga","Become","spotify:artist:56ZTgzPBDge0OvCGgMO3OY","Beach House","2023-04-28","https://i.scdn.co/image/ab67616d0000b2736448d089b0f68fb9cee997f0","1","3","306106","https://p.scdn.co/mp3-preview/4f2ce44406417fea68050549b43bd7ee6bedd637?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSUB2254503","","2023-07-03T19:22:43Z","art pop,baltimore indie,dream pop,dreamo,indie pop,indie rock,indietronica,modern dream pop","0.402","0.675","0","-7.575","1","0.0283","0.49","0.949","0.096","0.0916","133.87","4","","Sub Pop Records","C 2023 Sub Pop Records, P 2023 Sub Pop Records"
"spotify:track:50WB5xrWPx7tac1dTJVOiB","After Silver Leaves","spotify:artist:5ojcEAg9JjIhUdIjC8y5GF","Smut","spotify:album:7IIPgb348H8g3EY9eLrOCy","How the Light Felt","spotify:artist:5ojcEAg9JjIhUdIjC8y5GF","Smut","2022-11-11","https://i.scdn.co/image/ab67616d0000b273249969ed850a37ac52bca4f4","1","2","277476","https://p.scdn.co/mp3-preview/81015f9cab1af7be687201181c0994b5f3814f81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QM6YT2205202","","2023-07-03T13:58:46Z","bubblegrunge,cincinnati indie","0.498","0.819","7","-6.638","1","0.0351","0.0182","0.0363","0.164","0.352","110.092","4","","Bayonet Records","C 2022 Bayonet Records, P 2022 Bayonet Records"
"spotify:track:4DU4GFHXVgP5FEdc5WO98C","She's My Best Friend","spotify:artist:1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","spotify:album:2W7aQrGUh6ZAONQYGTd0xr","VU","spotify:artist:1nJvji2KIlWSseXRSlNYsC","The Velvet Underground","1985-02-02","https://i.scdn.co/image/ab67616d0000b273d360f68678a38898f21f2944","1","3","167026","https://p.scdn.co/mp3-preview/5c105bb702db80d093a0fc82f2b71baafcad851f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USF098400030","","2023-06-21T19:57:46Z","alternative rock,melancholia,permanent wave,protopunk,rock","0.583","0.442","0","-16.194","1","0.0331","0.163","0.00000564","0.38","0.897","133.616","4","","Universal Records","C © 1985 UMG Recordings, Inc., P ℗ 1985 UMG Recordings, Inc."
"spotify:track:6nfeo8P6dKsVQpGOrByjcp","Lacrosse","spotify:artist:3KuNGrXzOFrVtQvi8czDCR","Jan flu","spotify:album:6oJb6DwxnLk13hrd0RAwsP","Lacrosse","spotify:artist:3KuNGrXzOFrVtQvi8czDCR","Jan flu","2020-05-13","https://i.scdn.co/image/ab67616d0000b2734c02668a00ddea757c1d2517","1","1","150590","https://p.scdn.co/mp3-preview/8aaad56d894de439ee7e1a62f8c3636e2a57eb78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","JPG102000349","","2023-06-12T14:13:18Z","japanese dream pop","0.644","0.822","1","-9.466","0","0.0295","0.025","0.614","0.228","0.724","110.946","4","","FRIENDSHIP.","C 2020 FRIENDSHIP., P 2020 FRIENDSHIP."
"spotify:track:3pdu4GgrFvnn3X9hj9EQP4","There Was a Door","spotify:artist:4RoIQHT4yJcA0ENhs8WLd4","Crying","spotify:album:4JjJcCjI0a7uVGmQZZyRAZ","Beyond the Fleeting Gales","spotify:artist:4RoIQHT4yJcA0ENhs8WLd4","Crying","2016-10-14","https://i.scdn.co/image/ab67616d0000b2730476cf47637d559528fc34d3","1","7","254666","https://p.scdn.co/mp3-preview/30595b11b46a4d91b07ff91e056d4bd6ff25790a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","QMCE71301189","","2023-04-13T20:33:16Z","bitpop,bubblegrunge,diy emo,modern power pop","0.45","0.907","4","-4.728","1","0.0928","0.0303","0.0723","0.545","0.48","98.014","4","","Run For Cover Records","C 2016 Run For Cover Records, P 2016 Run For Cover Records"
"spotify:track:3XqP0HAPdDN3Lkdoufds20","Selfish Soul","spotify:artist:2MPHBxznH1fj59jbOWY38u","Sudan Archives","spotify:album:1QSo9HgowUqAc5BI3AdkqN","Natural Brown Prom Queen","spotify:artist:2MPHBxznH1fj59jbOWY38u","Sudan Archives","2022-09-09","https://i.scdn.co/image/ab67616d0000b2739c351edcaee4de7d242e7aea","1","5","142666","https://p.scdn.co/mp3-preview/ab3669e6869b2a45cb45f261e02cfbbef22dcf5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","US2S72249005","","2023-03-22T15:46:04Z","afrofuturism,alternative r&b,experimental r&b,indie soul,la pop","0.677","0.551","7","-7.963","1","0.0293","0.0206","0.269","0.088","0.246","106.954","4","","Stones Throw Records","C 2022 Stones Throw Records, P 2022 Stones Throw Records"
"spotify:track:6qZc3f8YGbjCnnd8zKazz9","Summer Nights","spotify:artist:1nEGjL7aMVdNQzsfQPKdGr","Hazel English","spotify:album:55W1o8tsVGHxKt7sliL5xF","Summer Nights","spotify:artist:1nEGjL7aMVdNQzsfQPKdGr","Hazel English","2022-04-21","https://i.scdn.co/image/ab67616d0000b2738ee78771140a488016ee084f","1","1","185765","https://p.scdn.co/mp3-preview/f88b5f05ba4b02ed517d9c699c6c36a34dce6eee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","FR59R2216323","","2023-03-21T15:08:05Z","chill dream pop,oakland indie","0.37","0.732","4","-6.613","1","0.0287","0.00494","0.64","0.256","0.135","170.95","4","","Hazel English","C 2022 Hazel English, P 2022 Hazel English"
"spotify:track:2WIbRYwd9pu45IHaQuWVnN","Dinosaur Act","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","spotify:album:71I6DvVoUfYmszlwb6is18","Things We Lost in the Fire","spotify:artist:0wz0jO9anccPzH04N7FLBH","Low","2001-01-01","https://i.scdn.co/image/ab67616d0000b27361640f3199d9519cf33545a5","1","3","253013","https://p.scdn.co/mp3-preview/8b600a60035fea391f0e4f2ef920cf5676f8370a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USI4R0401880","","2023-02-21T20:09:03Z","chamber pop,dream pop,duluth indie,melancholia,shoegaze,slowcore","0.406","0.204","7","-10.773","1","0.0251","0.338","0.0000802","0.109","0.109","71.475","4","","kranky","C (C) 2001 kranky, P (P) 2001 Chairkickers Music/Sub Pop Music/Polygram BMI"
"spotify:track:04U5WkBMO8suBcoBpQfZrA","One For The Catholic Girls","spotify:artist:53PYmJ7bACIX8gkVoTkCIr","Simon Joyner","spotify:album:0ED2S4cbgSOeY7qNL81iIi","Beautiful Losers: Singles & Compilation Tracks 1994-1999","spotify:artist:53PYmJ7bACIX8gkVoTkCIr","Simon Joyner","2006-03-07","https://i.scdn.co/image/ab67616d0000b273754e3686f63bef998ebbb2f2","1","21","376546","https://p.scdn.co/mp3-preview/8b56d83b6f8b71d594df7f8b92ace52f57ad265f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","US38Y0607621","","2023-02-21T20:04:48Z","melancholia,omaha indie","0.645","0.312","7","-12.951","1","0.0349","0.853","0.0219","0.143","0.333","90.265","4","","Jagjaguwar","C 2006 Jagjaguwar, P 2006 Jagjaguwar"
"spotify:track:0CWYoH5koEm1asbGkbUz9f","(Downtown) Dancing","spotify:artist:57anmI1X2hXWPrNagFdzZr","YACHT","spotify:album:4cbp1L7hZu3HYs5UmwmX1S","Chain Tripping","spotify:artist:57anmI1X2hXWPrNagFdzZr","YACHT","2019-08-30","https://i.scdn.co/image/ab67616d0000b2730106fc8e5be4638f6fbe2818","1","1","338120","","false","0","US4GE1900047","","2023-01-07T02:35:11Z","ai,alternative dance,chillwave,dance-punk,indietronica,neo-synthpop,new rave,shimmer pop","0.86","0.615","5","-5.949","0","0.0496","0.0191","0.598","0.065","0.545","110.002","4","","DFA Records","C 2019 DFA LLC, P 2019 DFA LLC"
