"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Album Genres","Label","Copyrights"
"spotify:track:3xyr2xfbSZiZWWGsjLyMFh","Hotel","spotify:artist:3V0ZQW0dNuVaFtbVYgSI24","Claire Rosinkranz","spotify:album:00XbpqjUL8dH40s3vGltsV","6 Of A Billion","spotify:artist:3V0ZQW0dNuVaFtbVYgSI24","Claire Rosinkranz","2021-07-09","https://i.scdn.co/image/ab67616d0000b273b825e9b45a2b332c160223a8","1","1","134781","https://p.scdn.co/mp3-preview/44c6758c90ef4bcd20e9367886d9c0374e247cdb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USUG12102943","spotify:user:evebal","2024-07-15T21:21:12Z","alt z,modern indie pop","0.856","0.656","5","-6.475","1","0.0752","0.484","0","0.559","0.949","133.927","4","","Republic Records","C © 2021 Purple Monkey Recordz LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc., P ℗ 2021 Purple Monkey Recordz LLC, under exclusive license to Republic Records, a division of UMG Recordings, Inc."
"spotify:track:45amNYT3mAxl8Hh9A7J56g","Boys Are From Mars (feat. Yung Baby Tate)","spotify:artist:6lay1nwbE6hTx1jivysUAL, spotify:artist:3IJ21966TwNZI24MwZHMu4","Princess Nokia, Baby Tate","spotify:album:3CZncRuiQ8RRLLDFgLdZ4Y","Boys Are From Mars (feat. Yung Baby Tate)","spotify:artist:6lay1nwbE6hTx1jivysUAL","Princess Nokia","2021-09-24","https://i.scdn.co/image/ab67616d0000b273a2ed75b54b6f3fb188cb7d73","1","1","192386","https://p.scdn.co/mp3-preview/68e957a76e2ecc78f84dd54dbdc53d4f26640947?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","USAR12100106","spotify:user:evebal","2024-07-15T21:21:12Z","alternative r&b,escape room,lgbtq+ hip hop,trap queen,trap queen","0.811","0.61","1","-6.958","0","0.0653","0.0865","0","0.0729","0.72","136.003","4","","Arista Records","P (P) 2021 Princess Nokia, Inc. under exclusive license to Sony Music Entertainment"
"spotify:track:6Zu3aw7FfjAF9WA0fA81Oq","Big Energy","spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ","Latto","spotify:album:58MbYehGOl5NAOdfWY5aHa","Big Energy","spotify:artist:3MdXrJWsbVzdn6fe5JYkSQ","Latto","2021-09-24","https://i.scdn.co/image/ab67616d0000b2739c6ee9288ba1e9a08ab0b99e","1","1","173182","https://p.scdn.co/mp3-preview/79b2e8507b9c30a917067f688d5a8c029542c422?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USRC12102454","spotify:user:evebal","2024-07-15T21:21:12Z","trap queen","0.935","0.807","11","-3.838","0","0.114","0.0514","0","0.349","0.813","106.017","4","","Streamcut/RCA Records","P (P) 2021 Streamcut & RCA Records"
"spotify:track:1r28ZDlVxz24Rmy8Sq9REY","No Me Queda Más","spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch","Selena","spotify:album:6iv9WTw1nhNxSsgKaxMp4E","Amor Prohibido","spotify:artist:6IE6z7DcZIT4Ml3Fh5Ivch","Selena","1994","https://i.scdn.co/image/ab67616d0000b273c26a4f2195b3ecf63d2a30ae","1","2","200840","https://p.scdn.co/mp3-preview/f81eb41876aae64e6665fec54899bad521380f43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","USEL19400012","spotify:user:evebal","2024-07-15T21:21:12Z","mexican pop,tejano","0.507","0.322","2","-14.403","1","0.0381","0.744","0","0.0899","0.655","94.723","4","","EMI Latin (LAT)","C © 2015 Capitol Latin, P ℗ 2015 Capitol Latin"
"spotify:track:6EQR7Y5vVZFiPD0RUECIDv","A Un Paso De La Luna - Remix","spotify:artist:0vR2qb8m9WHeZ5ByCbimq2, spotify:artist:0L1f9i3L3fkMNENljDOsjG, spotify:artist:6k8mwkKJKKjBILo7ypBspl","Reik, Rocco Hunt, Ana Mena","spotify:album:7uqAed3H0PhUrLDoyVATh8","A Un Paso De La Luna (Remix)","spotify:artist:0vR2qb8m9WHeZ5ByCbimq2, spotify:artist:0L1f9i3L3fkMNENljDOsjG, spotify:artist:6k8mwkKJKKjBILo7ypBspl","Reik, Rocco Hunt, Ana Mena","2021-03-23","https://i.scdn.co/image/ab67616d0000b273bfbac3edc26d6540a5432a48","1","1","194262","https://p.scdn.co/mp3-preview/fecc21931d5f7495cf5cbc2380ed3daa86f73107?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITB002100160","spotify:user:evebal","2024-07-15T21:21:12Z","latin arena pop,latin pop,mexican pop,reggaeton,italian adult pop,italian hip hop,italian pop,pop virale italiano,rap napoletano,spanish pop","0.791","0.915","10","-2.48","1","0.0809","0.0622","0","0.244","0.732","121.948","4","","RCA Records Label","P A RCA Records release (P) 2021 Sony Music Entertainment Italy S.p.A."
"spotify:track:5SixeLvPsYpk7qq9lo5xYg","Have Mercy","spotify:artist:1FtBEIWAwvw5ymBen5GICR","Chlöe","spotify:album:4N8qhDeqx8AHoEhMnYEC2Y","Have Mercy","spotify:artist:1FtBEIWAwvw5ymBen5GICR","Chlöe","2021-09-10","https://i.scdn.co/image/ab67616d0000b273e5854bb0267f0656f464a072","1","1","148778","https://p.scdn.co/mp3-preview/e55fa7861f6fe15e8c614b905884ddc28b08cfc7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USSM12105357","spotify:user:evebal","2024-07-15T21:21:12Z","contemporary r&b","0.903","0.535","9","-6.434","1","0.0742","0.297","0","0.345","0.508","130.022","4","","Parkwood Entertainment/Columbia","P (P) 2021 Parkwood Entertainment LLC, under exclusive license to Columbia Records, a Division of Sony Music Entertainment"
"spotify:track:2AHnmlkyZbnxqSA66B7jK3","Don't Shut Me Down","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:02hUNciNYPRn4Fk5tY4toP","I Still Have Faith In You / Don't Shut Me Down","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","2021-09-02","https://i.scdn.co/image/ab67616d0000b27323533fedac2927315c55d34b","1","2","238800","https://p.scdn.co/mp3-preview/99755b6143a116f56b4769e4c2f0086edbb9cb2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","SE6XG2100104","spotify:user:evebal","2024-07-15T21:21:12Z","europop,swedish pop","0.719","0.604","0","-7.395","1","0.0281","0.105","0","0.107","0.565","99.993","4","","Polar Music International AB","C © 2021 1221 AB, under exclusive license to Polar Music International AB, P ℗ 2021 1221 AB, under exclusive license to Polar Music International AB"
"spotify:track:6MYJv37Mpj5njLLbxKWNun","Crush","spotify:artist:5DD5GZd4ElmQTy9NleMvKJ","Tessa Violet","spotify:album:39y7WSuhOKLmxWP7ElwWFl","Bad Ideas","spotify:artist:5DD5GZd4ElmQTy9NleMvKJ","Tessa Violet","2019-10-25","https://i.scdn.co/image/ab67616d0000b273691253f50c8d0c3a2d52363f","1","2","216266","https://p.scdn.co/mp3-preview/8f018092c7730e0f5f469724f1935c2b1a4be9db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","US3DF1813109","spotify:user:evebal","2024-07-15T21:21:12Z","alt z,indie pop,pov: indie","0.91","0.402","1","-9.55","1","0.0857","0.0297","0.00018","0.0801","0.825","135.993","4","","T∆G Music","C (C) 2019 T∆G Music, P (P) 2019 T∆G Music"
"spotify:track:1Ehdm1PDlKrdfyBsjwEvd1","Top Of The World","spotify:artist:1eEfMU2AhEo7XnKgL7c304","Carpenters","spotify:album:1nA6Exnq2mWD8678q3E4Ov","A Song For You","spotify:artist:1eEfMU2AhEo7XnKgL7c304","Carpenters","1972","https://i.scdn.co/image/ab67616d0000b27375fc0e961ba2028df4787966","1","2","179173","https://p.scdn.co/mp3-preview/80762f7aa08153bef800c08b6b53d3a915838ec2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAM17200071","spotify:user:evebal","2024-07-15T21:21:12Z","adult standards,mellow gold,soft rock","0.379","0.343","10","-12.993","1","0.0385","0.806","0","0.0991","0.694","184.301","4","","A&M","C © 1972 UMG Recordings, Inc., P ℗ 1972 UMG Recordings, Inc."
"spotify:track:44aTAUBF0g6sMkMNE8I5kd","Every Little Thing She Does Is Magic","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:5jkwdY6jS1Hzi8epr6HW7h","Ghost In The Machine (Remastered 2003)","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","1981-10-02","https://i.scdn.co/image/ab67616d0000b273b7879980ef2ea7ac1cc29316","1","2","260573","https://p.scdn.co/mp3-preview/6f816f12a8d0abff7e552609d5a30d0b6be58834?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBAAM0201127","spotify:user:evebal","2024-07-15T21:21:12Z","album rock,classic rock,permanent wave,rock","0.558","0.768","2","-9.997","1","0.0343","0.121","0.0626","0.124","0.429","81.909","4","","Polydor Records","C © 2003 A&M Records, P ℗ 2003 A&M Records"
